accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__
0.16118,0.277324,4,15,0,-29.4263
0.916579,0.310842,2,3,0,-29.3653
1,0.497805,1,1,0,-28.3682
4.28286e-012,0.0440366,1,1,0,-28.3682
0.998606,0.0739105,3,7,0,-24.8841
1,0.13143,2,3,0,-22.9235
0.558334,0.0601745,1,1,0,-24.2433
0.975103,0.103083,2,3,0,-26.6365
0.705435,0.0761748,4,15,0,-25.0312
1,0.143731,3,7,0,-21.2136
0.511989,0.058408,2,3,0,-21.2803
1,0.110835,2,3,0,-20.8493
1.46612e-007,0.00927119,4,15,0,-15.4881
1,0.01777,5,19,0,-13.2849
0.999582,0.0338207,5,31,0,-11.6376
0.947946,0.0545784,3,7,0,-11.6142
0.16953,0.00827565,1,1,0,-11.6142
0.998371,0.0156413,4,15,0,-11.5724
0.970473,0.0269554,4,15,0,-11.8104
0.991955,0.0490957,2,3,0,-11.7422
0.583011,0.0267098,2,3,0,-11.8373
0.988422,0.0477231,4,11,0,-12.5483
0.749125,0.0423802,3,7,0,-11.7362
0.845583,0.0496908,4,15,0,-11.8517
0.306185,0.0126093,1,1,0,-13.8843
0.999977,0.0229922,5,31,0,-13.4338
1,0.0415091,4,11,0,-13.4122
1,0.0742041,1,1,0,-12.9032
0.0342629,0.00933054,1,1,0,-12.9032
0.999417,0.0166995,3,7,0,-11.9753
1,0.0296501,3,7,0,-11.9346
0.998425,0.0519346,3,7,0,-13.0859
0.378431,0.01743,3,7,0,-12.0012
0.865762,0.0214357,2,3,0,-13.1532
1,0.0372915,3,7,0,-13.3072
1,0.0643128,2,3,0,-13.4266
0.0436101,0.00942894,1,1,0,-13.4266
0.988973,0.0158414,4,15,0,-13.8745
0.99617,0.0268894,2,3,0,-13.473
0.954781,0.0408093,1,1,0,-13.8213
1,0.0688929,2,3,0,-13.5396
0.159308,0.0144138,1,1,0,-13.5396
0.992345,0.0238728,5,19,0,-12.71
1,0.0399913,2,3,0,-11.9705
0.765211,0.0376565,2,3,0,-12.5763
0.675164,0.0285728,4,15,0,-14.3491
0.980165,0.0450931,4,13,0,-11.6987
0.997796,0.0737396,3,7,0,-11.6741
0.0195529,0.0119404,2,3,0,-11.6741
0.99412,0.019398,5,23,0,-11.91
0.992049,0.0311592,3,7,0,-12.0921
0.999724,0.0506295,3,7,0,-11.7068
0.108271,0.0105541,1,1,0,-11.7068
0.999961,0.017166,5,27,0,-11.6553
0.912578,0.0227592,4,9,0,-12.6555
0.989422,0.0357511,1,1,0,-12.7069
0.996225,0.0567011,4,11,0,-13.1932
0.354876,0.0214435,4,15,0,-13.6471
0.988031,0.0333087,5,23,0,-13.1619
1,0.052838,2,3,0,-13.0766
0.229764,0.0154633,1,1,0,-13.0766
0.991758,0.0240668,5,31,0,-13.9014
0.968705,0.0354519,3,7,0,-13.3453
0.914648,0.0462846,2,3,0,-13.2941
0.886533,0.0567271,1,1,0,-13.7425
0.58402,0.0364591,1,1,0,-16.7775
0.623013,0.0255679,2,3,0,-13.3284
0.902725,0.03241,1,1,0,-14.1167
0.977358,0.0478969,2,3,0,-13.2758
0.610009,0.0328223,3,7,0,-13.3037
0.844133,0.0366569,1,1,0,-13.3037
1,0.0563596,4,15,0,-11.6638
0.0514965,0.0123627,1,1,0,-11.6638
0.992311,0.0187303,3,7,0,-11.7382
0.979016,0.0275041,4,15,0,-12.1005
0.998759,0.0418632,1,1,0,-12.089
0.946804,0.0571648,3,7,0,-11.9297
0.0533256,0.0130624,3,7,0,-12.0224
0.999391,0.0198514,4,15,0,-11.6007
0.991884,0.0296014,3,7,0,-11.9419
0.614759,0.0209275,2,3,0,-11.9419
0.91544,0.0267523,4,15,0,-12.062
0.978211,0.038559,3,7,0,-12.1564
1,0.0577759,2,3,0,-12.1009
1,0.0862417,3,5,0,-14.0918
5.83374e-010,0.0187434,3,7,0,-14.0918
1,0.0280157,5,27,0,-17.7742
1,0.0417208,3,7,0,-17.8964
0.99805,0.0616772,3,7,0,-20.1689
0.574912,0.0408543,2,3,0,-20.1689
0.992095,0.0595173,4,15,0,-18.8901
0.48667,0.0335406,4,15,0,-14.0212
0.385707,0.015735,2,3,0,-17.3281
0.996092,0.0230719,2,3,0,-16.3717
1,0.0339624,1,1,0,-16.8186
0.549431,0.0217393,3,7,0,-11.7354
0.994431,0.0315772,4,15,0,-12.0594
0.494282,0.0183476,2,3,0,-12.4756
0.963121,0.0251129,4,13,0,-12.5894
1,0.0366506,2,3,0,-11.9472
0.973701,0.0508528,3,7,0,-11.8231
0.418824,0.0259731,1,1,0,-13.0655
0.954937,0.0348011,1,1,0,-13.4512
0.937576,0.0451024,3,7,0,-12.267
0.928521,0.0574013,2,3,0,-12.0464
0.0605196,0.0157126,1,1,0,-12.0464
0.9336,0.0202194,5,17,0,-12.4194
1,0.029176,3,5,0,-12.0987
0.999201,0.041922,4,15,0,-13.0067
0.756924,0.0393929,1,1,0,-13.5719
0.990973,0.0555806,3,7,0,-13.0195
0.421881,0.0292482,3,7,0,-13.1043
1,0.0418495,2,3,0,-12.3412
0.918773,0.0519509,4,15,0,-13.0121
0.324126,0.0232966,1,1,0,-15.5333
0.997037,0.0330595,2,3,0,-12.966
0.978789,0.0453668,2,3,0,-13.1227
0.733278,0.0410064,2,3,0,-12.2412
0.944248,0.0529261,2,3,0,-12.7522
0.595214,0.0379425,3,5,0,-12.3508
0.878419,0.0437934,2,3,0,-11.9894
0.759655,0.0414211,4,15,0,-12.9732
0.720881,0.036745,2,3,0,-13.5738
0.908306,0.0444975,2,3,0,-12.8545
